Country,Important,Notimportant
Estonia,16,78%
Sweden,17,82%
Denmark,19,80%
Norway[a],21,78%
Czech Republic[a],21,75%
Japan,24,75%
Hong Kong,24,74%
United Kingdom,27,73%
Finland[a],28,70%
Vietnam,30,69%
France,30,69%
Australia[a],32,68%
The Netherlands[a],33,67%
New Zealand[a],33,66%
Belgium[a],33,58%
Cuba[a],34,64%
Bulgaria[a],34,62%
Russia,34,66%
Belarus,34,56%
Luxembourg,39,59%
Hungary,39,58%
Albania,39,53%
Latvia,39,58%
Germany,40,59%
Uruguay,41,59%
Switzerland,41,57%
Canada,42,57%
Lithuania,42,49%
South Korea,43,56%
Kazakhstan,43,48%
Taiwan[a],45,54%
Ukraine,46,48%
Slovenia,47,52%
Slovakia[a],47,52%
Spain,49,51%
Azerbaijan,50,49%
Israel,51,48%
Serbia,54,44%
Ireland,54,46%
Austria[a],55,43%
Uzbekistan,59,38%
Belize[a],62,33%
Argentina,65,34%
United States,69,31%
Croatia,70,28%
Chile,70,29%
Singapore,70,29%
Jamaica[a],70,30%
Montenegro,71,28%
Greece,71,28%
Portugal[a],72,26%
Italy,72,25%
Moldova,72,19%
Kyrgyzstan,72,25%
Iran[a],73,26%
Mexico,73,25%
Armenia,73,25%
Poland,75,19%
Haiti[a],75,23%
Cyprus,75,25%
North Macedonia,76,22%
Botswana[a],77,23%
Bosnia and Herzegovina,77,21%
Venezuela,79,21%
Costa Rica,79,20%
Turkmenistan,80,18%
Togo[a],80,13%
Georgia,81,16%
Turkey,82,15%
Ecuador,82,17%
Colombia,83,16%
El Salvador,83,16%
Peru,84,14%
Iraq,84,11%
Nicaragua,84,15%
Honduras,84,15%
Romania,84,12%
South Africa,85,15%
Puerto Rico[a],85,14%
Tajikistan,85,12%
Mozambique[a],86,14%
Malta,86,10%
Brazil,87,13%
Dominican Republic,87,13%
Lebanon,87,12%
Zimbabwe,88,12%
Cote d'Ivoire,88,12%
Burkina Faso[a],88,12%
Panama,88,11%
Angola[a],88,11%
Guatemala,88,9%
Tanzania,89,11%
Bolivia,89,10%
Syria,89,9%
India,90,9%
United Arab Emirates,91,8%
Kuwait,91,6%
Namibia[a],92,9%
Trinidad and Tobago[a],92,8%
Paraguay,92,8%
Pakistan,92,6%
State of Palestine,93,7%
Sudan,93,7%
Uganda,93,7%
Madagascar[a],93,7%
Benin[a],93,7%
Nepal,93,6%
Tunisia,93,5%
Saudi Arabia,93,4%
Central African Republic[a],94,6%
Kenya,94,6%
Liberia[a],94,6%
Democratic Republic of the Congo,94,5%
Bahrain,94,4%
Ghana,95,5%
Zambia,95,5%
Qatar,95,4%
Algeria,95,4%
Chad,95,5%
Rwanda,95,5%
Republic of the Congo[a],95,5%
Mali,95,3%
Philippines,96,4%
Cameroon,96,4%
Malaysia,96,3%
Nigeria,96,3%
Cambodia,96,3%
Senegal,96,4%
Jordan[a],96,4%
Myanmar[a],97,3%
Afghanistan,97,3%
Laos[a],97,3%
Guinea[a],97,3%
Morocco,97,2%
Egypt,97,2%
Comoros,97,2%
Thailand,97,2%
Burundi,98,2%
Djibouti,98,2%
Mauritania,98,2%
Sri Lanka,99,1%
Malawi,99,1%
Indonesia,99,1%
Yemen,99,1%
Niger,100,0%
Ethiopia,100,0%
Somalia[a],100,0%
Bangladesh,100,0%
Oman,100,0%
