ReligionImportant,Country
0.16,Estonia
0.17,Sweden
0.19,Denmark
0.21000000000000002,Norway
0.21000000000000002,Czech Republic
0.24000000000000002,Japan
0.24000000000000002,Hong Kong
0.27,United Kingdom
0.28,Finland
0.3,Vietnam
0.3,France
0.32,Australia
0.33,The Netherlands
0.33,New Zealand
0.33,Belgium
0.34,Cuba
0.34,Bulgaria
0.34,Russia
0.34,Belarus
0.39,Luxembourg
0.39,Hungary
0.39,Albania
0.39,Latvia
0.4,Germany
0.41000000000000003,Uruguay
0.41000000000000003,Switzerland
0.42000000000000004,Canada
0.42000000000000004,Lithuania
0.43000000000000005,South Korea
0.43000000000000005,Kazakhstan
0.45,Taiwan
0.46,Ukraine
0.47,Slovenia
0.47,Slovakia
0.49,Spain
0.5,Azerbaijan
0.51,Israel
0.54,Serbia
0.54,Ireland
0.55,Austria
0.5900000000000001,Uzbekistan
0.62,Belize
0.6500000000000001,Argentina
0.6900000000000001,United States
0.7000000000000001,Croatia
0.7000000000000001,Chile
0.7000000000000001,Singapore
0.7000000000000001,Jamaica
0.7100000000000001,Montenegro
0.7100000000000001,Greece
0.7200000000000001,Portugal
0.7200000000000001,Italy
0.7200000000000001,Moldova
0.7200000000000001,Kyrgyzstan
0.73,Iran
0.73,Mexico
0.73,Armenia
0.75,Poland
0.75,Haiti
0.75,Cyprus
0.76,North Macedonia
0.7699999999999999,Botswana
0.7699999999999999,Bosnia and Herzegovina
0.79,Venezuela
0.79,Costa Rica
0.8,Turkmenistan
0.8,Togo
0.81,Georgia
0.8200000000000001,Turkey
0.8200000000000001,Ecuador
0.83,Colombia
0.83,El Salvador
0.8400000000000001,Peru
0.8400000000000001,Iraq
0.8400000000000001,Nicaragua
0.8400000000000001,Honduras
0.8400000000000001,Romania
0.8500000000000001,South Africa
0.8500000000000001,Puerto Rico
0.8500000000000001,Tajikistan
0.8600000000000001,Mozambique
0.8600000000000001,Malta
0.8700000000000001,Brazil
0.8700000000000001,Dominican Republic
0.8700000000000001,Lebanon
0.8799999999999999,Zimbabwe
0.8799999999999999,Cote d'Ivoire
0.8799999999999999,Burkina Faso
0.8799999999999999,Panama
0.8799999999999999,Angola
0.8799999999999999,Guatemala
0.8899999999999999,Tanzania
0.8899999999999999,Bolivia
0.8899999999999999,Syria
0.9,India
0.91,United Arab Emirates
0.91,Kuwait
0.92,Namibia
0.92,Trinidad and Tobago
0.92,Paraguay
0.92,Pakistan
0.93,State of Palestine
0.93,Sudan
0.93,Uganda
0.93,Madagascar
0.93,Benin
0.93,Nepal
0.93,Tunisia
0.93,Saudi Arabia
0.94,Central African Republic
0.94,Kenya
0.94,Liberia
0.94,Democratic Republic of the Congo
0.94,Bahrain
0.95,Ghana
0.95,Zambia
0.95,Qatar
0.95,Algeria
0.95,Chad
0.95,Rwanda
0.95,Republic of the Congo
0.95,Mali
0.9600000000000001,Philippines
0.9600000000000001,Cameroon
0.9600000000000001,Malaysia
0.9600000000000001,Nigeria
0.9600000000000001,Cambodia
0.9600000000000001,Senegal
0.9600000000000001,Jordan
0.9700000000000001,Myanmar
0.9700000000000001,Afghanistan
0.9700000000000001,Laos
0.9700000000000001,Guinea
0.9700000000000001,Morocco
0.9700000000000001,Egypt
0.9700000000000001,Comoros
0.9700000000000001,Thailand
0.98,Burundi
0.98,Djibouti
0.98,Mauritania
0.99,Sri Lanka
0.99,Malawi
0.99,Indonesia
0.99,Yemen
1.0,Niger
1.0,Ethiopia
1.0,Somalia
1.0,Bangladesh
1.0,Oman
